"COWID","ZONE_CODE","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM","GWCODE"
678,141,204559,136949613243,0,1933.29248047,1933.29248047,188.702695753,202.869480202,38600834.7406,678
680,142,430875,288465257486,0,1500.37390137,1500.37390137,121.624554596,142.270340556,52404979.9613,680
713,143,53354,35719815138.7,0,2395.00512695,2395.00512695,387.448242825,342.523476581,20671913.5477,713
710,144,14017112,9384275769740,0,7104.00390625,7104.00390625,220.469537094,258.643583289,3090346194.04,710
820,145,491179,328838008022,0,2935.35913086,2935.35913086,97.6873624378,131.251877649,47981980.9949,820
830,146,796,532911737.647,0,105.14276123,105.14276123,25.6215598802,15.6353064107,20394.7616646,830
850,147,2816779,1885797225450,0,4699.08007813,4699.08007813,92.4025071228,139.783924548,260277441.611,850
620,148,2599512,1740339770040,0,1375.69006348,1375.69006348,29.5977737129,48.2085513023,76939767.94,620
483,149,1735557,1161933036000,0,1611.97363281,1611.97363281,25.5147834615,58.8113483449,44282361.0401,483
600,150,859544,575453626412,0,2168.60546875,2168.60546875,114.972620775,158.076680526,98824026.3513,600
435,151,1703811,1140679498280,0,850.629760742,850.629760742,9.00953134094,23.4943525421,15350538.6035,435
666,152,131986,88362925383.2,0,1315.76745605,1315.76745605,130.900635802,145.553642025,17277051.317,666
652,153,279707,187260230404,0,1278.16003418,1278.16003418,47.7031809804,74.2701643844,13342913.6425,652
651,154,1405619,941043798693,0,1525.67785645,1525.67785645,40.7425649319,62.7110596785,57268523.377,651
750,155,4724772,3163173940330,0,3754.57617188,3754.57617188,115.695303796,225.461877346,546633931.905,750
2,156,14112897,9448402592340,0,3485.76269531,3485.76269531,123.542468904,185.853043987,1743542138.76,2
670,157,2930380,1961851630360,0,1788.59692383,1788.59692383,54.1288136827,93.7589104922,158617993.039,670
110,1,316216,211702535216,0,2094.16040039,2094.16040039,25.6364142634,36.3729338602,8106644.37272,110
115,2,217896,145878562797,0,1047.38293457,1047.38293457,28.4645292134,43.2412003617,6202307.05748,115
52,3,7390,4947509725.14,0,824.34942627,824.34942627,59.0234151681,85.7149739143,436183.038092,52
101,4,1367350,915423196572,0,2986.99169922,2986.99169922,60.7411301406,106.413900676,83054384.2977,101
990,5,4063,2720126118.16,0,710.119689941,710.119689941,173.230327683,107.791058262,703834.821377,990
955,6,528,353489192.811,0,149.067092896,149.067092896,2.25767742413,14.0678635926,1192.05367994,972
160,7,4161730,2786224580300,0,3452.08276367,3452.08276367,82.5414448832,160.498164726,343515207.414,160
145,8,1632163,1092712086000,0,2950.68188477,2950.68188477,93.4939905125,165.711722272,152597432.037,145
140,9,12722412,8517490811530,0,2207.21850586,2207.21850586,29.4705309488,51.7030854086,374936236.589,140
155,10,1100095,736499419631,0,4698.68457031,4698.68457031,265.573336022,265.54933957,292155899.091,155
130,11,382485,256068776349,0,2544.25610352,2544.25610352,121.112505132,163.836298484,46323716.5255,130
150,12,598426,400638491851,0,910.747497559,910.747497559,24.304195917,37.3128874941,14544262.7458,150
135,13,1938582,1297855656020,0,6507.48291016,6507.48291016,141.801701505,217.135738348,274894226.108,135
165,14,266333,178306509827,0,667.514770508,667.514770508,44.3678362482,32.7403335663,11816618.9315,165
90,15,163707,109599725923,0,4440.58984375,4440.58984375,194.021963094,229.649301347,31762753.5122,90
70,16,2925137,1958341509450,0,2456.46923828,2456.46923828,183.089827074,210.715981836,535562827.498,70
53,17,659,441192003.906,0,419.011932373,419.011932373,93.7554784219,66.4895611979,61784.86028,53
55,18,492,329387656.937,0,676.616577148,676.616577148,230.622112995,119.157705491,113466.079594,55
42,19,71966,48180309185.3,0,1425.48242188,1425.48242188,181.623859305,191.021176664,13070742.6587,42
41,20,40125,26863170192.3,0,1541.41101074,1541.41101074,255.864767537,201.938250779,10266573.7974,41
51,21,16292,10907283957,0,1721.35644531,1721.35644531,199.535120153,172.126652436,3250826.17753,51
31,22,16257,10883851908.2,0,112.507774353,112.507774353,6.0210310705,7.68930167593,97883.9021132,31
100,23,1705843,1142039896080,0,6224.15478516,6224.15478516,84.954608873,156.269299645,144919224.864,100
94,24,76396,51146137071.9,0,1758.96166992,1758.96166992,233.176722677,227.65047814,17813768.9057,94
